audiobook_id,categories,rating_overall,rating_performance,rating_story
,Arts & Entertainment,4.6,4.7,4.6
,Romance,4.7,4.8,4.6
,"Mystery, Thriller & Suspense",4.8,4.9,4.7
,Biographies & Memoirs,4.9,4.9,4.9
,"Mystery, Thriller & Suspense",4.6,4.7,4.5
,Business & Careers,4.8,4.8,4.8
,Literature & Fiction,4.7,4.7,4.7
,Biographies & Memoirs,4.8,4.8,4.8
,Literature & Fiction,4.5,4.7,4.4
,"Mystery, Thriller & Suspense",4.7,4.8,4.7
,Literature & Fiction,4.4,4.6,4.4
,Biographies & Memoirs,4.9,4.9,4.9
,"Mystery, Thriller & Suspense",4.5,4.6,4.5
,Literature & Fiction,4.8,4.7,4.8
,Science Fiction & Fantasy,4.9,5.0,4.8
,Health & Wellness,4.6,4.7,4.6
,Literature & Fiction,4.7,4.8,4.7
,"Mystery, Thriller & Suspense",4.2,4.3,4.2
,Biographies & Memoirs,4.8,4.9,4.8
,Literature & Fiction,4.8,4.6,4.8
,"Relationships, Parenting & Personal Development",4.9,4.9,4.9
,"Relationships, Parenting & Personal Development",4.5,4.7,4.5
,Children\'s Audiobooks,4.9,4.9,4.9
,Literature & Fiction,4.7,4.8,4.7
,Literature & Fiction,4.8,4.9,4.8
,LGBTQ+,4.6,4.7,4.6
,Business & Careers,4.7,4.7,4.7
,Health & Wellness,4.8,4.8,4.8
,"Mystery, Thriller & Suspense",4.6,4.7,4.5
,Business & Careers,4.8,4.8,4.8
,Religion & Spirituality,4.7,4.6,4.7
,Literature & Fiction,4.7,4.8,4.7
,Biographies & Memoirs,4.7,4.6,4.7
,Science Fiction & Fantasy,4.8,4.9,4.8
,Biographies & Memoirs,4.9,4.9,4.9
,Children\'s Audiobooks,4.9,4.9,4.9
,Science Fiction & Fantasy,4.9,4.9,4.8
,Health & Wellness,4.8,4.7,4.8
,Politics & Social Sciences,4.6,4.7,4.6
,Children\'s Audiobooks,4.9,4.9,4.9
,Biographies & Memoirs,4.9,5.0,4.9
,"Mystery, Thriller & Suspense",4.7,4.7,4.7
,"Mystery, Thriller & Suspense",4.2,4.5,4.2
,Biographies & Memoirs,4.9,4.9,4.9
,"Mystery, Thriller & Suspense",4.9,4.9,4.9
,Science Fiction & Fantasy,4.7,4.8,4.7
,"Relationships, Parenting & Personal Development",4.7,4.7,4.6
,Money & Finance,4.8,4.8,4.8
,Science Fiction & Fantasy,4.5,4.8,4.4
,History,4.8,4.9,4.8
,Literature & Fiction,4.8,4.9,4.8
,Romance,4.7,4.8,4.6
,Education & Learning,4.6,4.5,4.5
,"Mystery, Thriller & Suspense",4.3,4.5,4.3
,Money & Finance,4.6,4.6,4.5
,Science Fiction & Fantasy,4.7,4.8,4.7
,Literature & Fiction,4.8,4.8,4.8
,Literature & Fiction,4.4,4.5,4.4
,Science Fiction & Fantasy,4.5,4.8,4.5
,Science Fiction & Fantasy,4.7,4.9,4.6
,Science Fiction & Fantasy,4.4,4.6,4.4
,Teen & Young Adult,4.6,4.6,4.6
,Literature & Fiction,4.6,4.6,4.7
,Science Fiction & Fantasy,4.8,4.9,4.8
,Health & Wellness,4.8,4.9,4.8
,Science Fiction & Fantasy,4.4,4.6,4.4
,Business & Careers,4.6,4.6,4.6
,Biographies & Memoirs,4.9,4.9,4.8
,"Mystery, Thriller & Suspense",4.4,4.7,4.3
,Literature & Fiction,4.8,4.8,4.8
,Literature & Fiction,4.6,4.7,4.5
,"Relationships, Parenting & Personal Development",4.9,4.9,4.9
,Literature & Fiction,4.5,4.6,4.4
,Literature & Fiction,4.4,4.6,4.4
,Business & Careers,4.9,4.9,4.8
,Literature & Fiction,4.7,4.7,4.7
,Money & Finance,4.6,4.6,4.6
,Teen & Young Adult,4.8,4.9,4.8
,Teen & Young Adult,4.8,4.7,4.8
,Business & Careers,4.8,4.8,4.8
,Children\'s Audiobooks,4.7,4.6,4.8
,Teen & Young Adult,4.5,4.3,4.5
,Business & Careers,4.9,4.9,4.9
,Science Fiction & Fantasy,4.7,4.9,4.6
,Business & Careers,4.6,4.6,4.5
,Biographies & Memoirs,4.8,4.8,4.8
,Literature & Fiction,4.7,4.8,4.7
,Health & Wellness,4.5,4.5,4.5
,Science Fiction & Fantasy,4.9,5.0,4.9
,Business & Careers,4.7,4.6,4.6
,Literature & Fiction,4.5,4.5,4.5
,Literature & Fiction,4.6,4.7,4.6
,Money & Finance,4.8,4.7,4.8
,Literature & Fiction,4.8,4.9,4.8
,Business & Careers,4.6,4.6,4.6
,Literature & Fiction,4.3,4.5,4.3
,History,4.7,4.8,4.6
,Health & Wellness,5.0,4.9,4.9
,Politics & Social Sciences,4.8,4.7,4.8
,Biographies & Memoirs,4.8,4.7,4.8
,"Relationships, Parenting & Personal Development",4.7,4.7,4.7
,Science Fiction & Fantasy,4.7,4.8,4.7
,Religion & Spirituality,4.5,4.6,4.8
,Literature & Fiction,4.7,4.9,4.6
,Health & Wellness,4.8,4.7,4.8
,Science Fiction & Fantasy,4.8,4.9,4.8
,Biographies & Memoirs,4.4,4.5,4.4
,"Relationships, Parenting & Personal Development",4.7,4.7,4.7
,Literature & Fiction,3.9,3.9,3.9
,Business & Careers,4.8,4.8,4.7
,Business & Careers,4.8,4.8,4.8
,Business & Careers,4.8,4.8,4.8
,"Relationships, Parenting & Personal Development",4.7,4.9,4.8
,Business & Careers,4.4,4.4,4.4
,Science Fiction & Fantasy,4.6,4.8,4.6
,Teen & Young Adult,4.9,4.9,4.9
,"Relationships, Parenting & Personal Development",4.9,4.9,4.9
,Romance,4.8,4.9,4.8
,LGBTQ+,4.7,4.7,4.7
,Literature & Fiction,4.5,4.7,4.5
,Literature & Fiction,4.7,4.7,4.7
,Business & Careers,4.8,4.6,4.7
,Science Fiction & Fantasy,4.6,4.7,4.6
,Literature & Fiction,4.2,4.2,4.2
,Romance,4.6,4.7,4.6
,Money & Finance,4.8,4.8,4.8
,History,4.8,4.8,4.8
,Romance,4.6,4.7,4.6
,Children\'s Audiobooks,4.8,4.7,4.8
,Biographies & Memoirs,4.8,4.9,4.8
,Politics & Social Sciences,4.8,4.9,4.8
,"Relationships, Parenting & Personal Development",4.6,4.6,4.5
,Teen & Young Adult,4.6,4.7,4.6
,Health & Wellness,4.9,4.9,4.9
,Science Fiction & Fantasy,4.8,4.9,4.7
,Health & Wellness,4.6,4.7,4.5
,Science Fiction & Fantasy,4.7,4.8,4.8
,Literature & Fiction,4.3,4.5,4.2
,Science Fiction & Fantasy,4.8,4.9,4.7
,Romance,4.4,4.5,4.3
,Literature & Fiction,4.6,4.8,4.6
,"Relationships, Parenting & Personal Development",4.9,4.9,4.8
,Science & Engineering,4.6,4.8,4.6
,Health & Wellness,3.1,3.0,2.8
,Romance,4.4,4.6,4.4
,Money & Finance,4.7,4.8,4.7
,Biographies & Memoirs,4.8,4.8,4.8
,Biographies & Memoirs,4.8,4.9,4.8
,Literature & Fiction,4.8,4.9,4.7
,Romance,4.6,4.7,4.6
,Business & Careers,4.5,4.7,4.6
,Education & Learning,4.8,4.8,4.7
,Literature & Fiction,4.5,4.7,4.5
,Literature & Fiction,4.6,4.7,4.5
,None,4.5,4.5,4.6
,Literature & Fiction,4.6,4.8,4.6
,Science Fiction & Fantasy,4.8,4.9,4.8
,Religion & Spirituality,4.9,4.9,4.9
,Romance,4.6,4.7,4.6
,"Relationships, Parenting & Personal Development",4.7,4.7,4.7
,Romance,4.5,4.7,4.5
,"Mystery, Thriller & Suspense",4.8,4.9,4.8
,"Mystery, Thriller & Suspense",4.9,4.9,4.9
,Literature & Fiction,4.6,4.7,4.6
,Literature & Fiction,4.5,4.6,4.4
,Biographies & Memoirs,4.8,4.7,4.7
,Literature & Fiction,4.8,4.8,4.8
,Teen & Young Adult,4.0,4.8,3.6
,Business & Careers,4.8,4.8,4.7
,Science Fiction & Fantasy,4.5,4.6,4.5
,Religion & Spirituality,4.9,4.8,4.9
,Business & Careers,4.8,4.8,4.8
,Education & Learning,4.8,4.9,4.8
,Business & Careers,4.3,4.3,4.2
,Children\'s Audiobooks,4.7,4.7,4.7
,"Relationships, Parenting & Personal Development",4.6,4.6,4.5
,Children\'s Audiobooks,4.2,3.8,4.8
,Science Fiction & Fantasy,4.8,4.9,4.7
,"Relationships, Parenting & Personal Development",4.6,4.5,4.5
,Literature & Fiction,4.6,4.7,4.6
,Health & Wellness,4.8,4.8,4.8
,Teen & Young Adult,4.6,4.7,4.6
,Teen & Young Adult,4.6,4.7,4.6
,Teen & Young Adult,4.4,4.4,4.5
,Literature & Fiction,4.6,4.8,4.5
,Science Fiction & Fantasy,4.6,4.8,4.6
,Literature & Fiction,4.7,4.8,4.6
,Literature & Fiction,4.4,4.4,4.4
,Biographies & Memoirs,4.9,5.0,4.9
,Business & Careers,4.8,4.8,4.8
,Health & Wellness,4.7,4.7,4.6
,Science Fiction & Fantasy,4.8,4.9,4.7
,"Relationships, Parenting & Personal Development",4.9,4.9,4.9
,Business & Careers,4.5,4.6,4.5
,Teen & Young Adult,4.9,4.9,4.8
,Literature & Fiction,4.5,4.6,4.6
,Literature & Fiction,4.6,4.7,4.6
,Science Fiction & Fantasy,4.6,4.7,4.6
,Science Fiction & Fantasy,4.8,4.9,4.8
,Children\'s Audiobooks,4.8,4.7,4.9
,History,4.5,4.7,4.5
,Romance,4.8,4.8,4.8
,Literature & Fiction,4.5,4.6,4.6
,"Mystery, Thriller & Suspense",4.7,4.5,4.7
,Science Fiction & Fantasy,4.9,5.0,4.9
,Erotica,4.5,4.8,4.5
,Literature & Fiction,4.9,4.9,4.9
,"Mystery, Thriller & Suspense",4.5,4.5,4.5
,"Mystery, Thriller & Suspense",4.7,4.8,4.6
,Literature & Fiction,4.6,4.7,4.5
,Business & Careers,4.7,4.7,4.6
,Biographies & Memoirs,4.4,4.3,4.6
,Literature & Fiction,4.7,4.9,4.7
,Romance,4.7,4.8,4.7
,Business & Careers,4.6,4.6,4.6
,"Mystery, Thriller & Suspense",4.3,4.2,4.3
,Politics & Social Sciences,4.8,4.7,4.8
,Romance,4.6,4.7,4.5
,Health & Wellness,4.8,4.8,4.8
,Biographies & Memoirs,4.7,4.7,4.7
,Health & Wellness,4.8,4.8,4.8
,Science Fiction & Fantasy,4.7,4.9,4.7
,Children\'s Audiobooks,4.5,4.7,4.5
,Science Fiction & Fantasy,4.6,4.6,4.7
,Health & Wellness,3.2,2.9,3.0
,Literature & Fiction,4.4,4.4,4.4
,Business & Careers,4.4,4.4,4.3
,Literature & Fiction,4.5,4.7,4.4
,Literature & Fiction,4.7,4.8,4.7
,Science Fiction & Fantasy,4.8,4.8,4.8
,Literature & Fiction,4.5,4.7,4.5
,Business & Careers,4.6,4.8,4.7
,Romance,4.8,4.8,4.8
,"Relationships, Parenting & Personal Development",4.7,4.7,4.8
,Business & Careers,4.8,4.8,4.8
,Science Fiction & Fantasy,4.8,4.8,4.7
,"Mystery, Thriller & Suspense",4.8,4.9,4.8
,Science Fiction & Fantasy,4.8,4.9,4.8
,"Mystery, Thriller & Suspense",4.4,4.6,4.4
,Teen & Young Adult,4.7,4.8,4.6
,Biographies & Memoirs,4.8,4.6,4.8
,"Mystery, Thriller & Suspense",4.3,4.5,4.3
,Children\'s Audiobooks,4.5,4.5,4.6
,Literature & Fiction,4.3,4.6,4.3
,Literature & Fiction,4.4,4.7,4.4
,Science Fiction & Fantasy,4.7,4.8,4.7
,Literature & Fiction,4.8,4.8,4.8
,Science Fiction & Fantasy,4.7,4.7,4.6
,Teen & Young Adult,4.6,4.8,4.5
,Biographies & Memoirs,4.8,4.8,4.8
,Comedy & Humor,4.9,4.9,4.9
,Erotica,4.6,4.7,4.6
,Money & Finance,4.8,4.8,4.7
,Teen & Young Adult,4.7,4.6,4.7
,Money & Finance,4.8,4.8,4.8
,Teen & Young Adult,4.8,4.9,4.8
,Biographies & Memoirs,4.9,4.9,4.9
,Literature & Fiction,4.8,4.9,4.7
,Health & Wellness,4.7,4.6,4.6
,Politics & Social Sciences,4.9,4.8,4.9
,"Relationships, Parenting & Personal Development",4.8,4.8,4.8
,Literature & Fiction,4.4,4.5,4.5
,Health & Wellness,4.6,4.6,4.6
,Literature & Fiction,4.6,4.8,4.6
,Business & Careers,4.8,4.8,4.7
,Health & Wellness,4.8,4.8,4.8
,Health & Wellness,4.7,4.8,4.6
,Biographies & Memoirs,4.8,4.9,4.8
,Science Fiction & Fantasy,4.8,4.9,4.7
,Biographies & Memoirs,5.0,5.0,5.0
,History,4.4,4.6,4.6
,Literature & Fiction,4.5,4.7,4.5
,Romance,4.8,4.8,4.8
,Science Fiction & Fantasy,4.9,5.0,4.9
,Erotica,4.7,4.7,4.7
,Science Fiction & Fantasy,4.7,4.9,4.6
,Children\'s Audiobooks,4.7,4.8,4.7
,Biographies & Memoirs,4.5,4.6,4.5
,Science Fiction & Fantasy,4.4,4.7,4.5
,Money & Finance,3.9,3.8,3.8
,"Relationships, Parenting & Personal Development",4.9,5.0,4.9
,Literature & Fiction,4.1,4.2,4.1
,Romance,4.7,4.8,4.6
,Home & Garden,3.8,4.0,3.7
,LGBTQ+,4.0,4.4,3.9
,Business & Careers,4.8,4.8,4.8
,Romance,4.6,4.7,4.6
,Business & Careers,4.7,4.7,4.7
,Science Fiction & Fantasy,4.5,4.7,4.5
,Business & Careers,4.7,4.7,4.7
,Science Fiction & Fantasy,4.1,4.2,4.1
,Politics & Social Sciences,4.7,4.8,4.7
,Literature & Fiction,4.4,4.4,4.4
,History,4.8,4.8,4.8
,Literature & Fiction,4.7,4.9,4.6
,Science Fiction & Fantasy,4.8,5.0,4.7
,Biographies & Memoirs,4.7,4.7,4.7
,Romance,4.7,4.8,4.7
,Politics & Social Sciences,4.6,4.7,4.6
,"Mystery, Thriller & Suspense",4.8,4.9,4.8
,Literature & Fiction,4.7,4.8,4.7
,"Mystery, Thriller & Suspense",4.6,4.7,4.6
,Business & Careers,4.7,4.7,4.6
,Business & Careers,4.7,4.6,4.7
,Religion & Spirituality,4.9,4.8,4.9
,Science Fiction & Fantasy,4.2,4.4,4.2
,"Mystery, Thriller & Suspense",4.5,4.6,4.5
,Literature & Fiction,4.5,4.7,4.4
,"Relationships, Parenting & Personal Development",4.8,4.7,4.8
,Science Fiction & Fantasy,4.8,4.9,4.8
,Business & Careers,4.9,4.8,4.8
,Children\'s Audiobooks,4.7,4.7,4.8
,Science Fiction & Fantasy,4.9,5.0,4.9
,Literature & Fiction,4.7,4.8,4.6
,Literature & Fiction,4.4,4.6,4.3
,Business & Careers,4.5,4.6,4.5
,Romance,4.6,4.7,4.6
,Politics & Social Sciences,4.8,4.6,4.8
,Health & Wellness,4.7,4.7,4.6
,Science Fiction & Fantasy,4.7,4.7,4.8
,Literature & Fiction,4.4,4.5,4.3
,Literature & Fiction,4.3,4.5,4.3
,Health & Wellness,4.8,4.8,4.8
,Teen & Young Adult,4.6,4.2,4.7
,Science Fiction & Fantasy,4.9,4.9,4.9
,Science Fiction & Fantasy,4.9,5.0,4.9
,Literature & Fiction,4.6,4.6,4.5
,Romance,4.8,4.8,4.8
,Literature & Fiction,4.6,4.8,4.5
,Religion & Spirituality,4.9,4.9,4.9
,Literature & Fiction,4.7,4.8,4.6
,Romance,4.5,4.7,4.5
,Health & Wellness,4.9,4.9,4.9
,Literature & Fiction,4.8,4.9,4.8
,Biographies & Memoirs,4.7,4.7,4.7
,Science Fiction & Fantasy,4.9,4.9,4.8
,Literature & Fiction,4.8,4.9,4.8
,Literature & Fiction,4.3,4.3,4.3
,"Mystery, Thriller & Suspense",4.7,4.9,4.7
,"Relationships, Parenting & Personal Development",4.6,4.6,4.6
,Religion & Spirituality,4.8,4.9,4.8
,Literature & Fiction,4.3,4.3,4.3
,Literature & Fiction,4.7,4.7,4.7
,Business & Careers,4.7,4.7,4.7
,"Mystery, Thriller & Suspense",4.9,5.0,4.9
,Science Fiction & Fantasy,4.9,4.9,4.9
,Science Fiction & Fantasy,4.1,4.5,4.1
,Business & Careers,4.4,4.4,4.4
,Teen & Young Adult,4.7,4.8,4.7
,Literature & Fiction,4.8,4.9,4.7
,Science Fiction & Fantasy,4.7,4.5,4.7
,Business & Careers,4.7,4.8,4.7
,Politics & Social Sciences,4.4,4.3,4.4
,Science Fiction & Fantasy,4.9,5.0,4.8
,Biographies & Memoirs,4.8,4.8,4.8
,Literature & Fiction,4.9,4.9,4.9
,Health & Wellness,4.5,4.4,4.4
,Biographies & Memoirs,4.7,4.8,4.6
,"Mystery, Thriller & Suspense",4.5,4.7,4.4
,Business & Careers,4.5,4.6,4.5
,LGBTQ+,4.6,4.7,4.5
,Literature & Fiction,4.4,4.7,4.3
,Literature & Fiction,4.3,4.5,4.3
,Literature & Fiction,4.7,4.8,4.6
,"Relationships, Parenting & Personal Development",4.8,4.8,4.7
,Literature & Fiction,4.6,4.8,4.6
,Business & Careers,4.7,4.7,4.7
,"Mystery, Thriller & Suspense",4.8,4.9,4.8
,Biographies & Memoirs,4.7,4.7,4.7
,Business & Careers,4.8,4.8,4.8
,Literature & Fiction,4.5,4.8,4.5
,Health & Wellness,4.2,4.3,4.2
,Romance,4.8,4.9,4.8
,Literature & Fiction,4.4,4.6,4.4
,Literature & Fiction,4.0,4.0,4.0
,Science Fiction & Fantasy,4.8,4.9,4.7
,Business & Careers,4.5,4.5,4.4
,Science Fiction & Fantasy,4.9,4.9,4.8
,Literature & Fiction,4.7,4.9,4.7
,Literature & Fiction,4.4,4.5,4.4
,History,4.5,4.5,4.5
,Science Fiction & Fantasy,4.5,4.6,4.5
,Biographies & Memoirs,4.6,4.8,4.6
,Teen & Young Adult,4.5,4.7,4.5
,Biographies & Memoirs,3.8,4.0,3.7
,Health & Wellness,4.7,4.8,4.7
,History,4.7,4.8,4.8
,Literature & Fiction,4.5,4.7,4.4
,Health & Wellness,4.8,4.7,4.8
,Erotica,4.7,4.9,4.6
,Business & Careers,4.2,4.2,4.2
,Literature & Fiction,4.6,4.8,4.7
,Business & Careers,4.8,4.8,4.8
,Science Fiction & Fantasy,4.7,4.8,4.6
,Business & Careers,4.5,4.5,4.5
